FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0000;;17;;
200102;0000;;16;;
200103;0000;;18;;
200104;0000;;19;;
200105;0000;;22;;
200106;0000;;10;;
200107;0000;;8;;
200108;0000;;8;;
200109;0000;;9;;
200110;0000;;8;;
200111;0000;;8;;
200112;0000;;10;;
200113;0000;;9;;
200114;0000;;9;;
200115;0000;;8;;
200116;0000;;11;;
200117;0000;;12;;
200118;0000;;10;;
200119;0000;;10;;
200120;0000;;10;;
200121;0000;;14;;
200122;0000;;11;;
200123;0000;;6;;
200124;0000;;;;
200125;0000;;7;;
200126;0000;;7;;
200127;0000;;8;;
200128;0000;;8;;
200129;0000;;6;;
200130;0000;;8;;
200131;0000;;10;;
200201;0000;;7;;
200202;0000;;8;;
200203;0000;;9;;
200204;0000;;9;;
200205;0000;;6;;
200206;0000;;7;;
200207;0000;;8;;
200208;0000;;10;;
200209;0000;;8;;
200210;0000;;8;;
200211;0000;;9;;
200212;0000;;11;;
200213;0000;;8;;
200214;0000;;8;;
200215;0000;;7;;
200216;0000;;6;;
200217;0000;;7;;
200218;0000;;7;;
200219;0000;;7;;
200220;0000;;6;;
200221;0000;;7;;
200222;0000;;6;;
200223;0000;;9;;
200224;0000;;8;;
200225;0000;;7;;
200226;0000;;6;;
200227;0000;;;;
200228;0000;;;;
200229;0000;;7;;
200301;0000;;6;;
200302;0000;;7;;
200303;0000;;8;;
200304;0000;;9;;
200305;0000;;8;;
200306;0000;;9;;
200307;0000;;;;
200308;0000;;;;
200309;0000;;;;
200310;0000;;;;
200311;0000;;7;;
200312;0000;;9;;
200313;0000;;7;;
200314;0000;;9;;
200315;0000;;6;;
200316;0000;;7;;
200317;0000;;6;;
200318;0000;;6;;
200319;0000;;;;
200320;0000;;9;;
200321;0000;;8;;
200322;0000;;4;;
200323;0000;;6;;
200324;0000;;8;;
200325;0000;;3;;
200326;0000;;;;
200327;0000;;;;
200328;0000;;;;
200329;0000;;11;;
200330;0000;;13;;
200331;0000;;14;;
200401;0000;;12;;
200402;0000;;13;;
200403;0000;;13;;
200404;0000;;5;;
200405;0000;;;;
200406;0000;;10;;
200407;0000;;10;;
200408;0000;;10;;
200409;0000;;;;
200410;0000;;;;
200411;0000;;7;;
200412;0000;;8;;
200413;0000;;8;;
200414;0000;;8;;
200415;0000;;8;;
200416;0000;;9;;
200417;0000;;10;;
200418;0000;;11;;
200419;0000;;9;;
200420;0000;;12;;
200421;0000;;10;;
200422;0000;;8;;
200423;0000;;8;;
200424;0000;;9;;
200425;0000;;10;;
200426;0000;;10;;
200427;0000;;12;;
200428;0000;;11;;
200429;0000;;12;;
200430;0000;;12;;
200501;0000;;12;;
200502;0000;;11;;
200503;0000;;11;;
200504;0000;;12;;
200505;0000;;13;;
200506;0000;;10;;
200507;0000;;10;;
200508;0000;;14;;
200509;0000;;14;;
200510;0000;;;;
200511;0000;;8;;
200512;0000;;11;;
200513;0000;;10;;
200514;0000;;9;;
200515;0000;;13;;
200516;0000;;13;;
200517;0000;;10;;
200518;0000;;9;;
200519;0000;;3;;
200520;0000;;4;;
200521;0000;;7;;
200522;0000;;5;;
200523;0000;;6;;
200524;0000;;6;;
200525;0000;;8;;
200526;0000;;7;;
200527;0000;;10;;
200528;0000;;;;
200529;0000;;12;;
200530;0000;;9;;
200531;0000;;8;;
200601;0000;;6;;
200602;0000;;11;;
200603;0000;;11;;
200604;0000;;33;;
200605;0000;;;;
200606;0000;;17;;
200607;0000;;9;;
200608;0000;;14;;
200609;0000;;5;;
200610;0000;;;;
200611;0000;;11;;
200612;0000;;6;;
200613;0000;;4;;
200614;0000;;3;;
200615;0000;;;;
200616;0000;;8;;
200617;0000;;5;;
200618;0000;;9;;
200619;0000;;7;;
200620;0000;;8;;
200621;0000;;5;;
200622;0000;;4;;
200623;0000;;3;;
200624;0000;;5;;
200625;0000;;5;;
200626;0000;;5;;
200627;0000;;4;;
200628;0000;;5;;
200629;0000;;6;;
200630;0000;;7;;
200701;0000;;4;;
200702;0000;;5;;
200703;0000;;5;;
200704;0000;;4;;
200705;0000;;11;;
200706;0000;;;;
200707;0000;;;;
200708;0000;;;;
200709;0000;;7;;
200710;0000;;7;;
200711;0000;;;;
200712;0000;;9;;
200713;0000;;7;;
200714;0000;;8;;
200715;0000;;;;
200716;0000;;;;
200717;0000;;14;;
200718;0000;;12;;
200719;0000;;11;;
200720;0000;;14;;
200721;0000;;20;;
200722;0000;;18;;
200723;0000;;18;;
200724;0000;;33;;
200725;0000;;15;;
200726;0000;;14;;
200727;0000;;14;;
200728;0000;;13;;
200729;0000;;;;
200730;0000;;8;;
200731;0000;;6;;
200801;0000;;11;;
200802;0000;;7;;
200803;0000;;;;
200804;0000;;;;
200805;0000;;9;;
200806;0000;;9;;
200807;0000;;15;;
200808;0000;;28;;
200809;0000;;17;;
200810;0000;;19;;
200811;0000;;16;;
200812;0000;;20;;
200813;0000;;18;;
200814;0000;;14;;
200815;0000;;;;
200816;0000;;17;;
200817;0000;;12;;
200818;0000;;11;;
200819;0000;;11;;
200820;0000;;13;;
200821;0000;;;;
200822;0000;;16;;
200823;0000;;16;;
200824;0000;;13;;
200825;0000;;19;;
200826;0000;;17;;
200827;0000;;16;;
200828;0000;;15;;
200829;0000;;13;;
200830;0000;;10;;
200831;0000;;12;;
200901;0000;;13;;
200902;0000;;12;;
200903;0000;;11;;
200904;0000;;9;;
200905;0000;;12;;
200906;0000;;11;;
200907;0000;;11;;
200908;0000;;13;;
200909;0000;;12;;
200910;0000;;11;;
200911;0000;;13;;
200912;0000;;12;;
200913;0000;;12;;
200914;0000;;30;;
200915;0000;;15;;
200916;0000;;16;;
200917;0000;;17;;
200918;0000;;16;;
200919;0000;;12;;
200920;0000;;11;;
200921;0000;;11;;
200922;0000;;12;;
200923;0000;;13;;
200924;0000;;14;;
200925;0000;;13;;
200926;0000;;14;;
200927;0000;;11;;
200928;0000;;15;;
200929;0000;;12;;
200930;0000;;;;
201001;0000;;10;;
201002;0000;;7;;
201003;0000;;14;;
201004;0000;;14;;
201005;0000;;12;;
201006;0000;;10;;
201007;0000;;13;;
201008;0000;;;;
201009;0000;;13;;
201010;0000;;13;;
201011;0000;;11;;
201012;0000;;13;;
201013;0000;;19;;
201014;0000;;41;;
201015;0000;;30;;
201016;0000;;34;;
201017;0000;;18;;
201018;0000;;29;;
201019;0000;;10;;
201020;0000;;12;;
201021;0000;;13;;
201022;0000;;13;;
201023;0000;;12;;
201024;0000;;12;;
201025;0000;;12;;
201026;0000;;9;;
201027;0000;;10;;
201028;0000;;10;;
201029;0000;;10;;
201030;0000;;11;;
201031;0000;;12;;
201101;0000;;14;;
201102;0000;;10;;
201103;0000;;11;;
201104;0000;;15;;
201105;0000;;13;;
201106;0000;;12;;
201107;0000;;13;;
201108;0000;;11;;
201109;0000;;12;;
201110;0000;;13;;
201111;0000;;13;;
201112;0000;;11;;
201113;0000;;25;;
201114;0000;;23;;
201115;0000;;26;;
201116;0000;;30;;
201117;0000;;18;;
201118;0000;;16;;
201119;0000;;12;;
201120;0000;;12;;
201121;0000;;11;;
201122;0000;;10;;
201123;0000;;14;;
201124;0000;;12;;
201125;0000;;12;;
201126;0000;;14;;
201127;0000;;14;;
201128;0000;;19;;
201129;0000;;13;;
201130;0000;;13;;
201201;0000;;15;;
201202;0000;;17;;
201203;0000;;16;;
201204;0000;;15;;
201205;0000;;13;;
201206;0000;;13;;
201207;0000;;14;;
201208;0000;;12;;
201209;0000;;15;;
201210;0000;;13;;
201211;0000;;15;;
201212;0000;;16;;
201213;0000;;14;;
201214;0000;;17;;
201215;0000;;17;;
201216;0000;;16;;
201217;0000;;16;;
201218;0000;;14;;
201219;0000;;16;;
201220;0000;;18;;
201221;0000;;17;;
201222;0000;;17;;
201223;0000;;18;;
201224;0000;;18;;
201225;0000;;16;;
201226;0000;;16;;
201227;0000;;17;;
201228;0000;;15;;
201229;0000;;14;;
201230;0000;;11;;
201231;0000;;15;;
210101;0000;;34;;
210102;0000;;14;;
210103;0000;;15;;
210104;0000;;14;;
210105;0000;;15;;
210106;0000;;11;;
210107;0000;;30;;
210108;0000;;12;;
210109;0000;;13;;
210110;0000;;13;;
210111;0000;;14;;
210112;0000;;15;;
210113;0000;;14;;
210114;0000;;18;;
210115;0000;;14;;
210116;0000;;17;;
210117;0000;;40;;
210118;0000;;41;;
210119;0000;;36;;
210120;0000;;25;;
210121;0000;;18;;
210122;0000;;14;;
210123;0000;;29;;
210124;0000;;19;;
210125;0000;;16;;
210126;0000;;25;;
210127;0000;;22;;
210128;0000;;27;;
210129;0000;;15;;
210130;0000;;10;;
210131;0000;;11;;
210201;0000;;12;;
210202;0000;;13;;
210203;0000;;12;;
210204;0000;;12;;
210205;0000;;23;;
210206;0000;;26;;
210207;0000;;26;;
210208;0000;;15;;
210209;0000;;14;;
210210;0000;;14;;
210211;0000;;12;;
210212;0000;;12;;
210213;0000;;20;;
210214;0000;;14;;
210215;0000;;13;;
210216;0000;;15;;
210217;0000;;14;;
210218;0000;;13;;
210219;0000;;15;;
210220;0000;;16;;
210221;0000;;15;;
210222;0000;;14;;
210223;0000;;16;;
210224;0000;;16;;
210225;0000;;17;;
210226;0000;;20;;
210227;0000;;17;;
210228;0000;;10;;
210301;0000;;10;;
210302;0000;;11;;
210303;0000;;11;;
210304;0000;;12;;
210305;0000;;12;;
210306;0000;;13;;
210307;0000;;13;;
210308;0000;;12;;
210309;0000;;12;;
210310;0000;;11;;
210311;0000;;12;;
210312;0000;;11;;
210313;0000;;12;;
210314;0000;;12;;
210315;0000;;12;;
210316;0000;;10;;
210317;0000;;11;;
210318;0000;;13;;
210319;0000;;17;;
210320;0000;;14;;
210321;0000;;11;;
210322;0000;;8;;
210323;0000;;8;;
210324;0000;;7;;
210325;0000;;8;;
210326;0000;;8;;
210327;0000;;7;;
210328;0000;;6;;
210329;0000;;9;;
210330;0000;;10;;
210331;0000;;10;;
210401;0000;;10;;
210402;0000;;8;;
210403;0000;;10;;
210404;0000;;11;;
210405;0000;;11;;
210406;0000;;10;;
210407;0000;;14;;
210408;0000;;12;;
210409;0000;;16;;
210410;0000;;13;;
210411;0000;;11;;
210412;0000;;11;;
210413;0000;;12;;
210414;0000;;11;;
210415;0000;;13;;
210416;0000;;12;;
210417;0000;;11;;
210418;0000;;10;;
210419;0000;;9;;
210420;0000;;12;;
210421;0000;;12;;
210422;0000;;10;;
210423;0000;;14;;
210424;0000;;14;;
210425;0000;;11;;
210426;0000;;10;;
210427;0000;;8;;
210428;0000;;12;;
210429;0000;;9;;
210430;0000;;8;;
210501;0000;;14;;
210502;0000;;13;;
210503;0000;;15;;
210504;0000;;18;;
210505;0000;;18;;
210506;0000;;14;;
210507;0000;;8;;
210508;0000;;10;;
210509;0000;;10;;
210510;0000;;13;;
210511;0000;;10;;
210512;0000;;10;;
210513;0000;;16;;
210514;0000;;10;;
210515;0000;;10;;
210516;0000;;8;;
210517;0000;;10;;
210518;0000;;10;;
210519;0000;;10;;
210520;0000;;15;;
210521;0000;;15;;
210522;0000;;13;;
210523;0000;;9;;
210524;0000;;12;;
210525;0000;;13;;
210526;0000;;11;;
210527;0000;;11;;
210528;0000;;6;;
210529;0000;;10;;
210530;0000;;10;;
210531;0000;;8;;
210601;0000;;9;;
210602;0000;;10;;
210603;0000;;10;;
210604;0000;;8;;
210605;0000;;8;;
210606;0000;;8;;
210607;0000;;15;;
210608;0000;;12;;
210609;0000;;8;;
210610;0000;;13;;
210611;0000;;11;;
210612;0000;;15;;
210613;0000;;10;;
210614;0000;;7;;
210615;0000;;9;;
210616;0000;;12;;
210617;0000;;10;;
210618;0000;;9;;
210619;0000;;10;;
210620;0000;;8;;
210621;0000;;10;;
210622;0000;;9;;
210623;0000;;20;;
210624;0000;;11;;
210625;0000;;12;;
210626;0000;;9;;
210627;0000;;6;;
210628;0000;;6;;
210629;0000;;10;;
210630;0000;;7;;
210701;0000;;7;;
210702;0000;;11;;
210703;0000;;13;;
210704;0000;;13;;
210705;0000;;24;;
210706;0000;;15;;
210707;0000;;16;;
210708;0000;;11;;
210709;0000;;11;;
210710;0000;;11;;
210711;0000;;14;;
210712;0000;;18;;
210713;0000;;13;;
210714;0000;;13;;
210715;0000;;14;;
210716;0000;;8;;
210717;0000;;10;;
210718;0000;;7;;
210719;0000;;10;;
210720;0000;;10;;
210721;0000;;9;;
210722;0000;;14;;
210723;0000;;10;;
210724;0000;;13;;
210725;0000;;10;;
210726;0000;;13;;
210727;0000;;17;;
210728;0000;;15;;
210729;0000;;10;;
210730;0000;;13;;
210731;0000;;9;;
210801;0000;;8;;
210802;0000;;7;;
210803;0000;;8;;
210804;0000;;9;;
210805;0000;;8;;
210806;0000;;8;;
210807;0000;;8;;
210808;0000;;15;;
210809;0000;;11;;
210810;0000;;6;;
210811;0000;;5;;
210812;0000;;12;;
210813;0000;;21;;
210814;0000;;17;;
210815;0000;;7;;
210816;0000;;19;;
210817;0000;;10;;
210818;0000;;13;;
210819;0000;;;;
210820;0000;;;;
210821;0000;;12;;
210822;0000;;10;;
210823;0000;;9;;
210824;0000;;;;
210825;0000;;6;;
210826;0000;;7;;
210827;0000;;8;;
210828;0000;;8;;
210829;0000;;9;;
210830;0000;;10;;
210831;0000;;7;;
210901;0000;;10;;
210902;0000;;11;;
210903;0000;;10;;
210904;0000;;9;;
210905;0000;;7;;
210906;0000;;8;;
210907;0000;;11;;
210908;0000;;10;;
210909;0000;;10;;
210910;0000;;9;;
210911;0000;;12;;
210912;0000;;10;;
210913;0000;;10;;
210914;0000;;8;;
210915;0000;;9;;
210916;0000;;11;;
210917;0000;;9;;
210918;0000;;;;
210919;0000;;9;;
210920;0000;;7;;
210921;0000;;7;;
210922;0000;;9;;
210923;0000;;7;;
210924;0000;;5;;
210925;0000;;7;;
210926;0000;;5;;
210927;0000;;6;;
210928;0000;;8;;
210929;0000;;18;;
210930;0000;;13;;
211001;0000;;7;;
211002;0000;;6;;
211003;0000;;6;;
211004;0000;;7;;
211005;0000;;8;;
211006;0000;;7;;
211007;0000;;10;;
211008;0000;;8;;
211009;0000;;7;;
211010;0000;;4;;
211011;0000;;5;;
211012;0000;;9;;
211013;0000;;12;;
211014;0000;;5;;
211015;0000;;7;;
211016;0000;;7;;
211017;0000;;6;;
211018;0000;;7;;
211019;0000;;13;;
211020;0000;;8;;
211021;0000;;7;;
211022;0000;;9;;
211023;0000;;11;;
211024;0000;;10;;
211025;0000;;7;;
211026;0000;;8;;
211027;0000;;8;;
211028;0000;;12;;
211029;0000;;8;;
211030;0000;;7;;
211031;0000;;7;;
211101;0000;;9;;
211102;0000;;12;;
211103;0000;;5;;
211104;0000;;5;;
211105;0000;;5;;
211106;0000;;5;;
211107;0000;;5;;
211108;0000;;9;;
211109;0000;;7;;
211110;0000;;6;;
211111;0000;;5;;
211112;0000;;13;;
211113;0000;;9;;
211114;0000;;7;;
211115;0000;;6;;
211116;0000;;7;;
211117;0000;;14;;
211118;0000;;15;;
211119;0000;;15;;
211120;0000;;10;;
211121;0000;;13;;
211122;0000;;11;;
211123;0000;;9;;
211124;0000;;13;;
211125;0000;;10;;
211126;0000;;9;;
211127;0000;;8;;
211128;0000;;10;;
211129;0000;;15;;
211130;0000;;13;;
211201;0000;;9;;
211202;0000;;11;;
211203;0000;;11;;
211204;0000;;9;;
211205;0000;;18;;
211206;0000;;17;;
211207;0000;;16;;
211208;0000;;14;;
211209;0000;;12;;
211210;0000;;15;;
211211;0000;;11;;
211212;0000;;17;;
211213;0000;;7;;
211214;0000;;7;;
211215;0000;;8;;
211216;0000;;8;;
211217;0000;;10;;
211218;0000;;9;;
211219;0000;;10;;
211220;0000;;9;;
211221;0000;;9;;
211222;0000;;7;;
211223;0000;;10;;
211224;0000;;9;;
211225;0000;;10;;
211226;0000;;8;;
211227;0000;;8;;
211228;0000;;9;;
211229;0000;;8;;
211230;0000;;13;;
211231;0000;;15;;
220101;0000;;13;;
220102;0000;;7;;
220103;0000;;11;;
220104;0000;;9;;
220105;0000;;7;;
220106;0000;;6;;
220107;0000;;8;;
220108;0000;;11;;
220109;0000;;11;;
220110;0000;;11;;
220111;0000;;10;;
220112;0000;;9;;
220113;0000;;8;;
220114;0000;;9;;
220115;0000;;13;;
220116;0000;;9;;
220117;0000;;11;;
220118;0000;;13;;
220119;0000;;14;;
220120;0000;;19;;
220121;0000;;14;;
220122;0000;;11;;
220123;0000;;13;;
220124;0000;;9;;
220125;0000;;8;;
220126;0000;;9;;
220127;0000;;11;;
220128;0000;;12;;
220129;0000;;10;;
220130;0000;;8;;
220131;0000;;8;;
220201;0000;;12;;
220202;0000;;10;;
220203;0000;;10;;
220204;0000;;9;;
220205;0000;;9;;
220206;0000;;9;;
220207;0000;;10;;
220208;0000;;13;;
220209;0000;;14;;
220210;0000;;16;;
220211;0000;;13;;
220212;0000;;7;;
220213;0000;;10;;
220214;0000;;22;;
220215;0000;;7;;
220216;0000;;11;;
220217;0000;;29;;
220218;0000;;21;;
220219;0000;;11;;
220220;0000;;11;;
220221;0000;;7;;
220222;0000;;10;;
220223;0000;;9;;
220224;0000;;7;;
220225;0000;;7;;
220226;0000;;8;;
220227;0000;;7;;
220228;0000;;9;;
220301;0000;;8;;
220302;0000;;9;;
220303;0000;;12;;
220304;0000;;8;;
220305;0000;;8;;
220306;0000;;9;;
220307;0000;;12;;
220308;0000;;13;;
220309;0000;;12;;
220310;0000;;12;;
220311;0000;;11;;
220312;0000;;9;;
220313;0000;;9;;
220314;0000;;8;;
220315;0000;;10;;
220316;0000;;10;;
220317;0000;;9;;
220318;0000;;8;;
220319;0000;;11;;
220320;0000;;10;;
220321;0000;;12;;
220322;0000;;6;;
220323;0000;;5;;
220324;0000;;4;;
220325;0000;;4;;
220326;0000;;;;
220327;0000;;4;;
220328;0000;;6;;
220329;0000;;7;;
220330;0000;;8;;
220331;0000;;9;;
220401;0000;;8;;
220402;0000;;9;;
220403;0000;;8;;
220404;0000;;5;;
220405;0000;;5;;
220406;0000;;4;;
220407;0000;;6;;
220408;0000;;4;;
220409;0000;;4;;
220410;0000;;5;;
220411;0000;;5;;
220412;0000;;7;;
220413;0000;;7;;
220414;0000;;6;;
220415;0000;;5;;
220416;0000;;7;;
220417;0000;;5;;
220418;0000;;7;;
220419;0000;;6;;
220420;0000;;6;;
220421;0000;;8;;
220422;0000;;9;;
220423;0000;;8;;
220424;0000;;6;;
220425;0000;;6;;
220426;0000;;6;;
220427;0000;;6;;
220428;0000;;9;;
220429;0000;;13;;
220430;0000;;9;;
220501;0000;;7;;
220502;0000;;9;;
220503;0000;;7;;
220504;0000;;8;;
220505;0000;;8;;
220506;0000;;7;;
220507;0000;;8;;
220508;0000;;6;;
220509;0000;;8;;
220510;0000;;6;;
220511;0000;;9;;
220512;0000;;7;;
220513;0000;;7;;
220514;0000;;6;;
220515;0000;;6;;
220516;0000;;9;;
220517;0000;;6;;
220518;0000;;;;
220519;0000;;6;;
220520;0000;;8;;
220521;0000;;7;;
220522;0000;;8;;
220523;0000;;6;;
220524;0000;;6;;
220525;0000;;5;;
220526;0000;;7;;
220527;0000;;7;;
220528;0000;;6;;
220529;0000;;7;;
220530;0000;;7;;
220531;0000;;8;;
220601;0000;;8;;
220602;0000;;7;;
220603;0000;;6;;
220604;0000;;5;;
220605;0000;;4;;
220606;0000;;5;;
220607;0000;;5;;
220608;0000;;4;;
220609;0000;;7;;
220610;0000;;7;;
220611;0000;;6;;
220612;0000;;7;;
220613;0000;;7;;
220614;0000;;6;;
220615;0000;;;;
220616;0000;;8;;
220617;0000;;6;;
220618;0000;;5;;
220619;0000;;5;;
220620;0000;;6;;
220621;0000;;;;
220622;0000;;7;;
220623;0000;;7;;
220624;0000;;10;;
220625;0000;;7;;
220626;0000;;6;;
220627;0000;;8;;
220628;0000;;8;;
220629;0000;;6;;
220630;0000;;7;;
220701;0000;;6;;
220702;0000;;7;;
220703;0000;;7;;
220704;0000;;9;;
220705;0000;;7;;
220706;0000;;8;;
220707;0000;;6;;
220708;0000;;7;;
220709;0000;;6;;
220710;0000;;4;;
220711;0000;;5;;
220712;0000;;4;;
220713;0000;;9;;
220714;0000;;7;;
220715;0000;;7;;
220716;0000;;5;;
220717;0000;;5;;
220718;0000;;5;;
220719;0000;;4;;
220720;0000;;7;;
220721;0000;;7;;
220722;0000;;5;;
220723;0000;;6;;
220724;0000;;4;;
220725;0000;;6;;
220726;0000;;5;;
220727;0000;;7;;
220728;0000;;7;;
220729;0000;;7;;
220730;0000;;5;;
220731;0000;;4;;
220801;0000;;5;;
220802;0000;;3;;
220803;0000;;4;;
220804;0000;;4;;
220805;0000;;3;;
220806;0000;;4;;
220807;0000;;6;;
220808;0000;;4;;
220809;0000;;4;;
220810;0000;;6;;
220811;0000;;4;;
220812;0000;;5;;
220813;0000;;5;;
220814;0000;;5;;
220815;0000;;6;;
220816;0000;;6;;
220817;0000;;6;;
220818;0000;;6;;
220819;0000;;4;;
220820;0000;;;;
220821;0000;;3;;
220822;0000;;6;;
220823;0000;;4;;
220824;0000;;4;;
220825;0000;;7;;
220826;0000;;6;;
220827;0000;;7;;
220828;0000;;17;;
220829;0000;;9;;
220830;0000;;6;;
220831;0000;;6;;
220901;0000;;6;;
220902;0000;;8;;
220903;0000;;4;;
220904;0000;;;;
220905;0000;;;;
220906;0000;;7;;
220907;0000;;8;;
220908;0000;;9;;
220909;0000;;7;;
220910;0000;;7;;
220911;0000;;6;;
220912;0000;;7;;
220913;0000;;8;;
220914;0000;;5;;
220915;0000;;8;;
220916;0000;;8;;
220917;0000;;8;;
220918;0000;;9;;
220919;0000;;4;;
220920;0000;;10;;
220921;0000;;5;;
220922;0000;;;;
220923;0000;;;;
220924;0000;;4;;
220925;0000;;4;;
220926;0000;;6;;
220927;0000;;11;;
220928;0000;;6;;
220929;0000;;5;;
220930;0000;;5;;
221001;0000;;7;;
221002;0000;;3;;
221003;0000;;4;;
221004;0000;;5;;
221005;0000;;5;;
221006;0000;;5;;
221007;0000;;6;;
221008;0000;;4;;
221009;0000;;3;;
221010;0000;;4;;
221011;0000;;4;;
221012;0000;;4;;
221013;0000;;3;;
221014;0000;;3;;
221015;0000;;4;;
221016;0000;;4;;
221017;0000;;3;;
221018;0000;;3;;
221019;0000;;3;;
221020;0000;;4;;
221021;0000;;4;;
221022;0000;;3;;
221023;0000;;4;;
221024;0000;;6;;
221025;0000;;6;;
221026;0000;;6;;
221027;0000;;7;;
221028;0000;;4;;
221029;0000;;3;;
221030;0000;;3;;
221031;0000;;3;;
221101;0000;;3;;
221102;0000;;4;;
221103;0000;;5;;
221104;0000;;9;;
221105;0000;;;;
221106;0000;;10;;
221107;0000;;6;;
221108;0000;;12;;
221109;0000;;16;;
221110;0000;;9;;
221111;0000;;10;;
221112;0000;;12;;
221113;0000;;7;;
221114;0000;;4;;
221115;0000;;8;;
221116;0000;;10;;
221117;0000;;8;;
221118;0000;;8;;
221119;0000;;8;;
221120;0000;;6;;
221121;0000;;10;;
221122;0000;;15;;
221123;0000;;11;;
221124;0000;;13;;
221125;0000;;;;
221126;0000;;;;
221127;0000;;;;
221128;0000;;;;
221129;0000;;;;
221130;0000;;12;;
221201;0000;;9;;
221202;0000;;5;;
221203;0000;;5;;
221204;0000;;5;;
221205;0000;;7;;
221206;0000;;9;;
221207;0000;;6;;
221208;0000;;8;;
221209;0000;;14;;
221210;0000;;12;;
221211;0000;;10;;
221212;0000;;7;;
221213;0000;;7;;
221214;0000;;8;;
221215;0000;;8;;
221216;0000;;13;;
221217;0000;;12;;
221218;0000;;7;;
221219;0000;;7;;
221220;0000;;9;;
221221;0000;;10;;
221222;0000;;10;;
221223;0000;;6;;
221224;0000;;6;;
221225;0000;;7;;
221226;0000;;8;;
221227;0000;;13;;
221228;0000;;8;;
221229;0000;;7;;
221230;0000;;7;;
221231;0000;;8;;
230101;0000;;11;;
230102;0000;;21;;
230103;0000;;14;;
230104;0000;;9;;
230105;0000;;13;;
230106;0000;;9;;
230107;0000;;9;;
230108;0000;;8;;
230109;0000;;5;;
230110;0000;;8;;
230111;0000;;9;;
230112;0000;;7;;
230113;0000;;7;;
230114;0000;;7;;
230115;0000;;8;;
230116;0000;;12;;
230117;0000;;11;;
230118;0000;;10;;
230119;0000;;11;;
230120;0000;;9;;
230121;0000;;9;;
230122;0000;;10;;
230123;0000;;9;;
230124;0000;;10;;
230125;0000;;9;;
230126;0000;;8;;
230127;0000;;9;;
230128;0000;;6;;
230129;0000;;13;;
230130;0000;;5;;
230131;0000;;5;;
230201;0000;;6;;
230202;0000;;6;;
