FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201226;0000;;;0,69;
201227;0000;;;0,37;
201228;0000;;;;
201229;0000;;;;
201230;0000;;;;
201231;0000;;;0,51;
210101;0000;;;1,05;
210102;0000;;;2,09;
210103;0000;;;1,66;
210104;0000;;;7,65;
210105;0000;;;2,55;
210106;0000;;;2,53;
210107;0000;;;1,37;
210108;0000;;;1,02;
210109;0000;;;0,69;
210110;0000;;;0,79;
210111;0000;;;0,89;
210112;0000;;;1,07;
210113;0000;;;1,26;
210114;0000;;;1,44;
210115;0000;;;1,54;
210116;0000;;;1,67;
210117;0000;;;2,57;
210118;0000;;;3,1;
210119;0000;;;1,91;
210120;0000;;;2,87;
210121;0000;;;2,51;
210122;0000;;;3,05;
210123;0000;;;3,61;
210124;0000;;;3,21;
210125;0000;;;;
210126;0000;;;0,61;
210127;0000;;;0,58;
210128;0000;;;1,1;
210129;0000;;;;
210130;0000;;;;
210131;0000;;;;
210201;0000;;;;
210202;0000;;;;
210203;0000;;;;
210204;0000;;;1,21;
210205;0000;;;0,69;
210206;0000;;;0,35;
210207;0000;;;0,41;
210208;0000;;;0,42;
210209;0000;;;1,34;
210210;0000;;;1,03;
210211;0000;;;3,52;
210212;0000;;;0,75;
210213;0000;;;0,91;
210214;0000;;;1,37;
210215;0000;;;1,02;
210216;0000;;;1,63;
210217;0000;;;1,36;
210218;0000;;;0,78;
210219;0000;;;0,64;
210220;0000;;;0,61;
210221;0000;;;0,61;
210222;0000;;;3,54;
210223;0000;;;0,76;
210224;0000;;;0,75;
210225;0000;;;0,8;
210226;0000;;;0,8;
210227;0000;;;0,42;
210228;0000;;;0,45;
210301;0000;;;3,31;
210302;0000;;;0,41;
210303;0000;;;0,52;
210304;0000;;;0,59;
210305;0000;;;0,49;
210306;0000;;;0,39;
210307;0000;;;0,36;
210308;0000;;;5,61;
210309;0000;;;0,57;
210310;0000;;;4,43;
210311;0000;;;5,47;
210312;0000;;;0,45;
210313;0000;;;0,28;
210314;0000;;;;
210315;0000;;;;
210316;0000;;;0,92;
210317;0000;;;0,47;
210318;0000;;;0,27;
210319;0000;;;0,56;
210320;0000;;;0,22;
210321;0000;;;0,36;
210322;0000;;;3,23;
210323;0000;;;0,96;
210324;0000;;;0,92;
210325;0000;;;1,26;
210326;0000;;;1,68;
210327;0000;;;1,18;
210328;0000;;;1,23;
210329;0000;;;3,95;
210330;0000;;;1,78;
210331;0000;;;1,49;
210401;0000;;;1,4;
210402;0000;;;1,2;
210403;0000;;;1,24;
210404;0000;;;1,23;
210405;0000;;;4,02;
210406;0000;;;1,07;
210407;0000;;;1,36;
210408;0000;;;1,27;
210409;0000;;;1,24;
210410;0000;;;1,17;
210411;0000;;;1,26;
210412;0000;;;4,41;
210413;0000;;;;
210414;0000;;;;
210415;0000;;;;
210416;0000;;;15,88;
210417;0000;;;15,47;
210418;0000;;;15,32;
210419;0000;;;18,3;
210420;0000;;;15,26;
