FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190325;0000;;;26;
190326;0000;;;63;
190327;0000;;;43;
190328;0000;;;45;
190329;0000;;;75;
190330;0000;;;59;
190331;0000;;;48;
190401;0000;;;41;
190402;0000;;;43;
190403;0000;;;54;
190404;0000;;;26;
190405;0000;;;31;
190406;0000;;;33;
190407;0000;;;32;
190408;0000;;;46;
190409;0000;;;39;
190410;0000;;;37;
190411;0000;;;53;
190412;0000;;;44;
190413;0000;;;25;
190414;0000;;;21;
190415;0000;;;28;
190416;0000;;;60;
190417;0000;;;50;
190418;0000;;;46;
190419;0000;;;40;
190420;0000;;;35;
190421;0000;;;41;
190422;0000;;;62;
190423;0000;;;44;
190424;0000;;;61;
190425;0000;;;61;
190426;0000;;;72;
190427;0000;;;49;
190428;0000;;;19;
190429;0000;;;37;
190430;0000;;;40;
190501;0000;;;39;
190502;0000;;;10;
190503;0000;;;10;
190504;0000;;;27;
190505;0000;;;36;
190506;0000;;;44;
190507;0000;;;48;
190508;0000;;;32;
190509;0000;;;69;
190510;0000;;;63;
190511;0000;;;63;
190512;0000;;;33;
190513;0000;;;54;
190514;0000;;;71;
190515;0000;;;69;
190516;0000;;;54;
190517;0000;;;38;
190518;0000;;;55;
190519;0000;;;33;
190520;0000;;;52;
190521;0000;;;41;
190522;0000;;;57;
190523;0000;;;86;
190524;0000;;;136;
190525;0000;;;107;
190526;0000;;;127;
190527;0000;;;38;
190528;0000;;;57;
190529;0000;;;49;
190530;0000;;;13;
190531;0000;;;15;
190601;0000;;;14;
190602;0000;;;40;
190603;0000;;;34;
190604;0000;;;22;
190605;0000;;;17;
190606;0000;;;52;
190607;0000;;;65;
190608;0000;;;55;
190609;0000;;;46;
190610;0000;;;46;
190611;0000;;;79;
190612;0000;;;23;
190613;0000;;;34;
190614;0000;;;41;
190615;0000;;;52;
190616;0000;;;65;
190617;0000;;;54;
190618;0000;;;;
190619;0000;;;;
190620;0000;;;;
190621;0000;;;78;
190622;0000;;;48;
190623;0000;;;29;
190624;0000;;;38;
190625;0000;;;32;
190626;0000;;;10;
190627;0000;;;23;
190628;0000;;;;
190629;0000;;;;
190630;0000;;;;
190701;0000;;;;
190702;0000;;;;
190703;0000;;;;
190704;0000;;;;
190705;0000;;;;
190706;0000;;;;
190707;0000;;;;
190708;0000;;;;
190709;0000;;;;
190710;0000;;;39;
190711;0000;;;39;
190712;0000;;;47;
190713;0000;;;32;
190714;0000;;;39;
190715;0000;;;91;
190716;0000;;;57;
190717;0000;;;37;
190718;0000;;;54;
190719;0000;;;31;
190720;0000;;;15;
190721;0000;;;27;
190722;0000;;;21;
190723;0000;;;14;
190724;0000;;;57;
190725;0000;;;91;
190726;0000;;;92;
190727;0000;;;53;
190728;0000;;;22;
190729;0000;;;12;
190730;0000;;;14;
190731;0000;;;57;
190801;0000;;;41;
190802;0000;;;21;
190803;0000;;;55;
190804;0000;;;69;
190805;0000;;;26;
190806;0000;;;30;
190807;0000;;;24;
190808;0000;;;35;
190809;0000;;;61;
190810;0000;;;61;
190811;0000;;;28;
190812;0000;;;22;
190813;0000;;;51;
190814;0000;;;67;
190815;0000;;;60;
190816;0000;;;62;
190817;0000;;;27;
190818;0000;;;;
190819;0000;;;68;
190820;0000;;;70;
190821;0000;;;48;
190822;0000;;;62;
190823;0000;;;86;
190824;0000;;;96;
190825;0000;;;57;
190826;0000;;;39;
190827;0000;;;37;
190828;0000;;;17;
190829;0000;;;34;
190830;0000;;;28;
190831;0000;;;14;
190901;0000;;;20;
190902;0000;;;24;
190903;0000;;;71;
190904;0000;;;109;
190905;0000;;;39;
190906;0000;;;40;
190907;0000;;;42;
190908;0000;;;33;
190909;0000;;;19;
190910;0000;;;43;
190911;0000;;;45;
190912;0000;;;62;
190913;0000;;;69;
190914;0000;;;34;
190915;0000;;;17;
190916;0000;;;36;
190917;0000;;;28;
190918;0000;;;28;
190919;0000;;;29;
190920;0000;;;28;
190921;0000;;;21;
190922;0000;;;27;
190923;0000;;;38;
190924;0000;;;72;
190925;0000;;;49;
190926;0000;;;34;
190927;0000;;;25;
190928;0000;;;25;
190929;0000;;;27;
190930;0000;;;24;
191001;0000;;;21;
191002;0000;;;17;
191003;0000;;;35;
191004;0000;;;37;
191005;0000;;;34;
191006;0000;;;15;
191007;0000;;;24;
191008;0000;;;22;
191009;0000;;;31;
191010;0000;;;25;
191011;0000;;;30;
191012;0000;;;16;
191013;0000;;;29;
191014;0000;;;36;
191015;0000;;;22;
191016;0000;;;23;
191017;0000;;;24;
191018;0000;;;46;
191019;0000;;;36;
191020;0000;;;24;
191021;0000;;;36;
191022;0000;;;48;
191023;0000;;;40;
191024;0000;;;34;
191025;0000;;;38;
191026;0000;;;11;
191027;0000;;;13;
191028;0000;;;17;
191029;0000;;;18;
191030;0000;;;24;
191031;0000;;;18;
191101;0000;;;18;
191102;0000;;;26;
191103;0000;;;13;
191104;0000;;;17;
191105;0000;;;34;
191106;0000;;;32;
191107;0000;;;38;
191108;0000;;;44;
191109;0000;;;45;
191110;0000;;;;
191111;0000;;;29;
191112;0000;;;31;
191113;0000;;;35;
191114;0000;;;28;
