FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200208;0000;;;33;
200209;0000;;;35;
200210;0000;;;48;
200211;0000;;;39;
200212;0000;;;50;
200213;0000;;;62;
200214;0000;;;32;
200215;0000;;;36;
200216;0000;;;25;
200217;0000;;;23;
200218;0000;;;48;
200219;0000;;;47;
200220;0000;;;58;
200221;0000;;;59;
200222;0000;;;52;
200223;0000;;;50;
200224;0000;;;29;
200225;0000;;;41;
200226;0000;;;46;
200227;0000;;;48;
200228;0000;;;49;
200229;0000;;;48;
200301;0000;;;44;
200302;0000;;;54;
200303;0000;;;42;
200304;0000;;;83;
200305;0000;;;61;
200306;0000;;;47;
200307;0000;;;43;
200308;0000;;;37;
200309;0000;;;51;
200310;0000;;;46;
200311;0000;;;41;
200312;0000;;;30;
200313;0000;;;47;
200314;0000;;;59;
200315;0000;;;36;
200316;0000;;;;
200317;0000;;;41;
200318;0000;;;39;
200319;0000;;;51;
200320;0000;;;68;
200321;0000;;;33;
200322;0000;;;23;
200323;0000;;;34;
200324;0000;;;29;
200325;0000;;;37;
200326;0000;;;28;
200327;0000;;;41;
200328;0000;;;29;
200329;0000;;;28;
200330;0000;;;37;
200331;0000;;;36;
200401;0000;;;51;
200402;0000;;;47;
200403;0000;;;41;
200404;0000;;;32;
200405;0000;;;52;
200406;0000;;;71;
200407;0000;;;92;
200408;0000;;;81;
200409;0000;;;132;
200410;0000;;;82;
200411;0000;;;35;
200412;0000;;;52;
200413;0000;;;58;
200414;0000;;;121;
200415;0000;;;79;
200416;0000;;;64;
200417;0000;;;35;
200418;0000;;;38;
200419;0000;;;47;
200420;0000;;;43;
200421;0000;;;116;
200422;0000;;;113;
200423;0000;;;73;
200424;0000;;;50;
200425;0000;;;56;
200426;0000;;;57;
200427;0000;;;66;
200428;0000;;;93;
200429;0000;;;95;
200430;0000;;;163;
200501;0000;;;191;
200502;0000;;;70;
200503;0000;;;67;
200504;0000;;;63;
200505;0000;;;55;
200506;0000;;;79;
200507;0000;;;184;
200508;0000;;;125;
200509;0000;;;51;
200510;0000;;;86;
200511;0000;;;94;
200512;0000;;;99;
200513;0000;;;118;
200514;0000;;;113;
200515;0000;;;126;
200516;0000;;;96;
200517;0000;;;170;
200518;0000;;;66;
200519;0000;;;53;
200520;0000;;;86;
200521;0000;;;118;
200522;0000;;;210;
200523;0000;;;218;
200524;0000;;;138;
200525;0000;;;164;
200526;0000;;;182;
200527;0000;;;128;
200528;0000;;;107;
200529;0000;;;129;
200530;0000;;;97;
200531;0000;;;133;
200601;0000;;;204;
200602;0000;;;116;
200603;0000;;;;
200604;0000;;;;
200605;0000;;;;
200606;0000;;;;
200607;0000;;;;
200608;0000;;;;
200609;0000;;;;
200610;0000;;;;
200611;0000;;;67;
200612;0000;;;;
200613;0000;;;200;
200614;0000;;;248;
200615;0000;;;120;
200616;0000;;;81;
200617;0000;;;106;
200618;0000;;;51;
200619;0000;;;113;
200620;0000;;;109;
200621;0000;;;100;
200622;0000;;;96;
200623;0000;;;119;
200624;0000;;;101;
200625;0000;;;166;
200626;0000;;;117;
200627;0000;;;123;
200628;0000;;;74;
200629;0000;;;91;
200630;0000;;;52;
200701;0000;;;97;
200702;0000;;;96;
200703;0000;;;91;
200704;0000;;;124;
200705;0000;;;135;
200706;0000;;;239;
200707;0000;;;164;
200708;0000;;;90;
200709;0000;;;47;
200710;0000;;;72;
200711;0000;;;87;
200712;0000;;;47;
200713;0000;;;133;
200714;0000;;;247;
200715;0000;;;227;
200716;0000;;;137;
200717;0000;;;45;
200718;0000;;;52;
200719;0000;;;55;
200720;0000;;;66;
200721;0000;;;81;
200722;0000;;;85;
200723;0000;;;206;
200724;0000;;;157;
200725;0000;;;76;
200726;0000;;;89;
200727;0000;;;126;
200728;0000;;;116;
200729;0000;;;203;
200730;0000;;;180;
200731;0000;;;137;
200801;0000;;;133;
200802;0000;;;96;
200803;0000;;;86;
200804;0000;;;86;
200805;0000;;;106;
200806;0000;;;92;
200807;0000;;;111;
200808;0000;;;193;
200809;0000;;;119;
200810;0000;;;117;
200811;0000;;;68;
200812;0000;;;65;
200813;0000;;;81;
200814;0000;;;87;
200815;0000;;;95;
200816;0000;;;142;
200817;0000;;;116;
200818;0000;;;65;
200819;0000;;;50;
200820;0000;;;57;
200821;0000;;;146;
200822;0000;;;156;
200823;0000;;;93;
200824;0000;;;68;
200825;0000;;;43;
200826;0000;;;40;
200827;0000;;;79;
200828;0000;;;55;
200829;0000;;;45;
200830;0000;;;36;
200831;0000;;;136;
200901;0000;;;106;
200902;0000;;;144;
200903;0000;;;100;
200904;0000;;;132;
200905;0000;;;115;
200906;0000;;;177;
200907;0000;;;120;
200908;0000;;;45;
200909;0000;;;70;
200910;0000;;;59;
200911;0000;;;130;
200912;0000;;;61;
200913;0000;;;87;
200914;0000;;;49;
200915;0000;;;47;
200916;0000;;;43;
200917;0000;;;34;
200918;0000;;;29;
200919;0000;;;33;
200920;0000;;;59;
200921;0000;;;56;
200922;0000;;;43;
200923;0000;;;64;
200924;0000;;;109;
200925;0000;;;78;
200926;0000;;;83;
200927;0000;;;65;
200928;0000;;;56;
200929;0000;;;31;
200930;0000;;;50;
201001;0000;;;55;
201002;0000;;;68;
201003;0000;;;49;
201004;0000;;;49;
201005;0000;;;39;
201006;0000;;;58;
201007;0000;;;67;
201008;0000;;;61;
201009;0000;;;51;
201010;0000;;;35;
201011;0000;;;79;
201012;0000;;;49;
201013;0000;;;64;
201014;0000;;;53;
201015;0000;;;57;
201016;0000;;;47;
201017;0000;;;40;
201018;0000;;;43;
201019;0000;;;35;
201020;0000;;;44;
201021;0000;;;42;
201022;0000;;;51;
201023;0000;;;36;
201024;0000;;;41;
201025;0000;;;56;
201026;0000;;;39;
201027;0000;;;25;
201028;0000;;;30;
201029;0000;;;41;
201030;0000;;;39;
201031;0000;;;37;
201101;0000;;;31;
201102;0000;;;31;
201103;0000;;;30;
201104;0000;;;36;
201105;0000;;;50;
201106;0000;;;42;
201107;0000;;;52;
201108;0000;;;31;
201109;0000;;;43;
201110;0000;;;41;
201111;0000;;;42;
201112;0000;;;29;
201113;0000;;;;
201114;0000;;;;
201115;0000;;;;
201116;0000;;;;
201117;0000;;;;
201118;0000;;;41;
201119;0000;;;33;
201120;0000;;;28;
201121;0000;;;32;
201122;0000;;;27;
201123;0000;;;23;
201124;0000;;;;
201125;0000;;;34;
201126;0000;;;53;
201127;0000;;;32;
201128;0000;;;21;
201129;0000;;;63;
201130;0000;;;45;
201201;0000;;;41;
201202;0000;;;33;
201203;0000;;;43;
201204;0000;;;46;
201205;0000;;;41;
201206;0000;;;31;
201207;0000;;;32;
201208;0000;;;25;
201209;0000;;;36;
201210;0000;;;;
201211;0000;;;;
201212;0000;;;;
201213;0000;;;27;
201214;0000;;;25;
201215;0000;;;45;
201216;0000;;;42;
201217;0000;;;37;
201218;0000;;;31;
201219;0000;;;19;
201220;0000;;;30;
201221;0000;;;45;
201222;0000;;;51;
201223;0000;;;41;
201224;0000;;;29;
201225;0000;;;35;
201226;0000;;;34;
201227;0000;;;24;
201228;0000;;;28;
201229;0000;;;26;
201230;0000;;;31;
201231;0000;;;47;
210101;0000;;;28;
210102;0000;;;27;
210103;0000;;;35;
210104;0000;;;55;
210105;0000;;;41;
210106;0000;;;49;
210107;0000;;;38;
210108;0000;;;39;
210109;0000;;;31;
210110;0000;;;20;
210111;0000;;;24;
210112;0000;;;44;
210113;0000;;;30;
210114;0000;;;41;
210115;0000;;;46;
210116;0000;;;47;
210117;0000;;;40;
210118;0000;;;50;
210119;0000;;;49;
210120;0000;;;56;
210121;0000;;;63;
210122;0000;;;66;
210123;0000;;;55;
210124;0000;;;31;
210125;0000;;;37;
210126;0000;;;36;
210127;0000;;;29;
210128;0000;;;27;
210129;0000;;;21;
210130;0000;;;19;
210131;0000;;;20;
210201;0000;;;22;
210202;0000;;;30;
210203;0000;;;29;
210204;0000;;;34;
210205;0000;;;31;
210206;0000;;;36;
210207;0000;;;38;
210208;0000;;;30;
210209;0000;;;43;
210210;0000;;;45;
210211;0000;;;33;
210212;0000;;;30;
210213;0000;;;39;
210214;0000;;;33;
210215;0000;;;34;
210216;0000;;;33;
210217;0000;;;29;
210218;0000;;;27;
210219;0000;;;34;
210220;0000;;;29;
210221;0000;;;27;
210222;0000;;;31;
210223;0000;;;60;
210224;0000;;;37;
210225;0000;;;42;
210226;0000;;;37;
210227;0000;;;39;
210228;0000;;;60;
210301;0000;;;52;
210302;0000;;;38;
210303;0000;;;48;
210304;0000;;;51;
210305;0000;;;40;
210306;0000;;;42;
210307;0000;;;28;
210308;0000;;;48;
210309;0000;;;40;
210310;0000;;;22;
210311;0000;;;39;
210312;0000;;;35;
210313;0000;;;41;
210314;0000;;;33;
210315;0000;;;39;
210316;0000;;;55;
210317;0000;;;45;
210318;0000;;;35;
210319;0000;;;35;
210320;0000;;;40;
210321;0000;;;39;
210322;0000;;;55;
210323;0000;;;40;
210324;0000;;;38;
210325;0000;;;58;
210326;0000;;;51;
210327;0000;;;51;
210328;0000;;;58;
210329;0000;;;47;
210330;0000;;;52;
210331;0000;;;63;
210401;0000;;;55;
210402;0000;;;37;
210403;0000;;;50;
210404;0000;;;45;
210405;0000;;;50;
210406;0000;;;59;
210407;0000;;;42;
210408;0000;;;64;
210409;0000;;;84;
210410;0000;;;85;
210411;0000;;;47;
210412;0000;;;39;
210413;0000;;;54;
210414;0000;;;41;
210415;0000;;;42;
210416;0000;;;63;
210417;0000;;;71;
210418;0000;;;62;
210419;0000;;;57;
210420;0000;;;59;
210421;0000;;;31;
210422;0000;;;54;
210423;0000;;;95;
210424;0000;;;90;
210425;0000;;;68;
210426;0000;;;58;
210427;0000;;;100;
210428;0000;;;124;
210429;0000;;;95;
210430;0000;;;93;
210501;0000;;;36;
210502;0000;;;53;
210503;0000;;;35;
210504;0000;;;125;
210505;0000;;;180;
210506;0000;;;196;
210507;0000;;;163;
210508;0000;;;127;
210509;0000;;;56;
210510;0000;;;123;
210511;0000;;;198;
210512;0000;;;180;
210513;0000;;;154;
210514;0000;;;189;
210515;0000;;;168;
210516;0000;;;155;
210517;0000;;;210;
210518;0000;;;122;
210519;0000;;;37;
210520;0000;;;;
210521;0000;;;83;
210522;0000;;;60;
210523;0000;;;115;
210524;0000;;;146;
210525;0000;;;118;
210526;0000;;;72;
210527;0000;;;;
210528;0000;;;68;
210529;0000;;;98;
210530;0000;;;85;
210531;0000;;;30;
210601;0000;;;59;
210602;0000;;;99;
210603;0000;;;44;
210604;0000;;;135;
210605;0000;;;136;
210606;0000;;;147;
210607;0000;;;113;
210608;0000;;;71;
210609;0000;;;72;
210610;0000;;;94;
210611;0000;;;168;
210612;0000;;;138;
210613;0000;;;62;
210614;0000;;;48;
210615;0000;;;211;
210616;0000;;;208;
210617;0000;;;306;
210618;0000;;;155;
210619;0000;;;149;
