FECHA (YYMMDD);HORA (HHMM);;
121018;0100;;
121018;0200;;
121018;0300;;
121018;0400;;
121018;0500;;
121018;0600;;
121018;0700;;
121018;0800;;
121018;0900;;
121018;1000;;
121018;1100;5,2051;
121018;1200;4,72255;
121018;1300;4,32001;
121018;1400;4,7789;
121018;1500;3,7667;
121018;1600;3,8012;
121018;1700;4,25603;
121018;1800;6,54596;
121018;1900;7,89725;
121018;2000;9,06541;
121018;2100;12,2218;
121018;2200;13,8027;
121018;2300;17,3153;
121019;0000;20,0555;
121019;0100;19,1632;
121019;0200;17,3799;
121019;0300;16,9922;
121019;0400;17,2368;
121019;0500;17,1896;
121019;0600;17,2001;
121019;0700;15,1542;
121019;0800;10,7457;
121019;0900;7,82301;
121019;1000;5,49134;
121019;1100;;
121019;1200;;
121019;1300;;
121019;1400;;
121019;1500;;
121019;1600;1,83917;
121019;1700;1,77957;
121019;1800;7,37128;
121019;1900;13,6017;
121019;2000;15,6423;
121019;2100;18,2963;
121019;2200;20,1786;
121019;2300;21,567;
121020;0000;22,3017;
121020;0100;20,673;
121020;0200;21,6328;
121020;0300;20,4993;
121020;0400;19,0278;
121020;0500;18,7922;
121020;0600;17,9332;
121020;0700;15,2902;
121020;0800;10,3715;
121020;0900;6,58911;
121020;1000;4,65575;
121020;1100;4,45206;
121020;1200;4,37868;
121020;1300;3,58305;
121020;1400;3,82733;
121020;1500;3,72495;
121020;1600;3,65462;
121020;1700;4,00213;
121020;1800;9,49767;
121020;1900;15,2755;
121020;2000;19,5968;
121020;2100;20,5018;
121020;2200;25,321;
121020;2300;24,2557;
121021;0000;24,7748;
121021;0100;23,4287;
121021;0200;23,5857;
121021;0300;23,3542;
121021;0400;24,1432;
121021;0500;24,2321;
121021;0600;24,3608;
121021;0700;19,1219;
121021;0800;14,3245;
121021;0900;8,56322;
121021;1000;7,22633;
121021;1100;8,80476;
121021;1200;7,10133;
121021;1300;5,38628;
121021;1400;4,36523;
121021;1500;5,03918;
121021;1600;5,70816;
121021;1700;8,14986;
121021;1800;12,2933;
121021;1900;13,6365;
121021;2000;19,1888;
121021;2100;23,8755;
121021;2200;27,5249;
121021;2300;25,9105;
121022;0000;26,4845;
121022;0100;28,7517;
121022;0200;28,7612;
121022;0300;27,3642;
121022;0400;26,5374;
121022;0500;26,1887;
121022;0600;22,0855;
121022;0700;18,6617;
121022;0800;16,3995;
121022;0900;12,3558;
121022;1000;13,19;
121022;1100;11,9478;
121022;1200;11,7728;
121022;1300;10,4513;
121022;1400;8,1801;
121022;1500;7,58221;
121022;1600;7,5403;
121022;1700;9,0211;
121022;1800;12,4238;
121022;1900;13,8859;
121022;2000;17,0792;
121022;2100;22,4165;
121022;2200;23,4167;
121022;2300;22,6584;
121023;0000;22,016;
121023;0100;24,9767;
121023;0200;24,771;
121023;0300;24,4668;
121023;0400;24,1841;
121023;0500;24,8782;
121023;0600;24,357;
121023;0700;19,2605;
121023;0800;12,5046;
121023;0900;7,57473;
121023;1000;5,20386;
121023;1100;4,53913;
121023;1200;5,39072;
121023;1300;5,69495;
121023;1400;4,59701;
121023;1500;4,42706;
121023;1600;4,01168;
121023;1700;3,86782;
121023;1800;6,64405;
121023;1900;11,0678;
121023;2000;14,5727;
121023;2100;17,238;
121023;2200;18,6598;
121023;2300;20,9192;
121024;0000;21,4565;
121024;0100;20,5663;
121024;0200;19,2086;
121024;0300;18,597;
121024;0400;19,3412;
121024;0500;20,627;
121024;0600;19,933;
121024;0700;16,1425;
121024;0800;11,482;
121024;0900;8,2252;
121024;1000;7,35165;
121024;1100;6,27725;
121024;1200;6,84233;
121024;1300;5,50238;
121024;1400;3,8995;
121024;1500;3,5977;
121024;1600;3,85737;
121024;1700;4,55028;
121024;1800;6,60835;
121024;1900;15,0772;
121024;2000;18,1802;
121024;2100;19,9068;
121024;2200;20,452;
121024;2300;21,9882;
121025;0000;21,6887;
121025;0100;20,5714;
121025;0200;18,8702;
121025;0300;20,192;
121025;0400;18,8767;
121025;0500;18,4183;
121025;0600;18,255;
121025;0700;13,8852;
121025;0800;10,9158;
121025;0900;9,57947;
121025;1000;7,11121;
121025;1100;5,4829;
121025;1200;4,4849;
121025;1300;4,7614;
121025;1400;4,86529;
121025;1500;4,74783;
121025;1600;4,6358;
121025;1700;4,40175;
121025;1800;7,21036;
121025;1900;15,323;
121025;2000;17,7737;
121025;2100;20,8538;
121025;2200;21,1808;
121025;2300;22,0823;
121026;0000;21,6713;
121026;0100;20,8972;
121026;0200;19,5922;
121026;0300;18,2785;
121026;0400;17,0518;
121026;0500;18,7993;
121026;0600;17,5688;
121026;0700;14,0537;
121026;0800;9,342;
121026;0900;6,18105;
121026;1000;4,76493;
121026;1100;5,28245;
121026;1200;5,15018;
121026;1300;3,6076;
121026;1400;2,86163;
121026;1500;2,03835;
121026;1600;1,74138;
121026;1700;2,98785;
121026;1800;6,6413;
121026;1900;11,8373;
121026;2000;13,7148;
121026;2100;15,7007;
121026;2200;17,8932;
121026;2300;21,8963;
121027;0000;22,4907;
121027;0100;22,8217;
121027;0200;24,2485;
121027;0300;21,1715;
121027;0400;19,7616;
121027;0500;19,1218;
121027;0600;19,3533;
121027;0700;17,7297;
121027;0800;13,6552;
121027;0900;9,17738;
121027;1000;6,40721;
121027;1100;6,47458;
121027;1200;7,3252;
121027;1300;6,8489;
121027;1400;6,5396;
121027;1500;5,84501;
121027;1600;6,12783;
121027;1700;5,73773;
121027;1800;6,07625;
121027;1900;6,94018;
121027;2000;7,71453;
121027;2100;8,70641;
121027;2200;10,967;
121027;2300;12,3962;
121028;0000;14,9427;
121028;0100;16,21;
121028;0200;14,5065;
121028;0300;12,7849;
121028;0400;12,7568;
121028;0500;14,3363;
121028;0600;14,1853;
121028;0700;12,4083;
121028;0800;9,36574;
121028;0900;7,30572;
121028;1000;6,17776;
121028;1100;8,03999;
121028;1200;9,59077;
121028;1300;10,0422;
121028;1400;9,49883;
121028;1500;9,74133;
121028;1600;9,00932;
121028;1700;9,42667;
121028;1800;11,3705;
121028;1900;14,1068;
121028;2000;15,3757;
121028;2100;16,5318;
121028;2200;18,0248;
121028;2300;18,8183;
121029;0000;21,1305;
121029;0100;23,0502;
121029;0200;22,2049;
121029;0300;22,7072;
121029;0400;23,9322;
121029;0500;24,8095;
121029;0600;24,5997;
121029;0700;20,2121;
121029;0800;14,2522;
121029;0900;9,92383;
121029;1000;8,09221;
121029;1100;7,94276;
121029;1200;7,27146;
121029;1300;6,7486;
121029;1400;6,48938;
121029;1500;6,04696;
121029;1600;5,47263;
121029;1700;5,76318;
121029;1800;11,4767;
121029;1900;13,8818;
121029;2000;15,783;
121029;2100;18,249;
121029;2200;18,054;
121029;2300;20,659;
121030;0000;21,772;
121030;0100;23,7928;
121030;0200;23,0148;
121030;0300;23,9067;
121030;0400;24,5542;
121030;0500;25,2375;
121030;0600;24,3348;
121030;0700;19,6668;
121030;0800;15,3157;
121030;0900;11,1778;
121030;1000;8,37283;
121030;1100;8,48068;
121030;1200;7,84501;
121030;1300;8,36691;
121030;1400;8,17899;
121030;1500;7,34693;
121030;1600;7,49148;
121030;1700;11,7474;
121030;1800;17,4472;
121030;1900;15,974;
121030;2000;16,644;
121030;2100;20,6958;
121030;2200;25,4782;
121030;2300;25,4268;
121031;0000;23,4705;
121031;0100;23,5023;
121031;0200;24,7568;
121031;0300;24,9035;
121031;0400;26,5932;
121031;0500;28,3297;
121031;0600;29,5025;
121031;0700;23,9568;
121031;0800;17,735;
121031;0900;13,0793;
121031;1000;9,84274;
121031;1100;8,66733;
121031;1200;8,00754;
121031;1300;7,33067;
121031;1400;7,64688;
121031;1500;7,32105;
121031;1600;7,8313;
121031;1700;11,923;
121031;1800;15,3833;
121031;1900;22,9156;
121031;2000;26,3338;
121031;2100;29,795;
121031;2200;31,8357;
121031;2300;31,3768;
121101;0000;30,8007;
121101;0100;30,7253;
121101;0200;31,5885;
121101;0300;31,8312;
121101;0400;31,7438;
121101;0500;31,7283;
121101;0600;34,65;
121101;0700;27,7622;
121101;0800;19,4693;
121101;0900;15,6837;
121101;1000;13,7277;
121101;1100;13,3472;
121101;1200;11,085;
121101;1300;10,1525;
121101;1400;9,62183;
121101;1500;8,32237;
121101;1600;7,8657;
121101;1700;9,28033;
121101;1800;12,8118;
121101;1900;12,2643;
121101;2000;13,6597;
121101;2100;16,2208;
121101;2200;18,7777;
121101;2300;19,839;
121102;0000;22,7115;
121102;0100;22,362;
121102;0200;22,8143;
121102;0300;23,2527;
121102;0400;24,101;
121102;0500;24,6245;
121102;0600;25,3967;
121102;0700;21,3081;
121102;0800;15,8247;
121102;0900;12,4103;
121102;1000;7,43048;
121102;1100;5,1615;
121102;1200;5,38786;
121102;1300;6,30763;
121102;1400;5,77448;
121102;1500;6,51523;
121102;1600;6,6803;
121102;1700;6,18606;
121102;1800;13,7559;
121102;1900;18,0297;
121102;2000;17,927;
121102;2100;17,9192;
121102;2200;21,2148;
121102;2300;23,6853;
121103;0000;25,0403;
121103;0100;25,8457;
121103;0200;26,9663;
121103;0300;27,1427;
121103;0400;27,161;
121103;0500;26,5468;
121103;0600;26,0862;
121103;0700;21,4497;
121103;0800;14,4245;
121103;0900;10,0777;
121103;1000;7,89968;
121103;1100;8,02155;
121103;1200;7,80101;
121103;1300;6,84186;
121103;1400;5,5691;
121103;1500;5,29838;
121103;1600;5,17368;
121103;1700;5,21861;
121103;1800;12,2955;
121103;1900;16,5522;
121103;2000;17,0455;
121103;2100;18,166;
121103;2200;21,4352;
121103;2300;21,3495;
121104;0000;23,1907;
121104;0100;24,2492;
121104;0200;23,8495;
121104;0300;24,9552;
121104;0400;25,6667;
121104;0500;25,2663;
121104;0600;24,7318;
121104;0700;20,5722;
121104;0800;14,7218;
121104;0900;10,9485;
121104;1000;7,63236;
121104;1100;6,16805;
121104;1200;5,51967;
121104;1300;4,41918;
121104;1400;3,488;
121104;1500;3,01135;
121104;1600;3,17902;
121104;1700;3,60867;
121104;1800;7,40388;
121104;1900;16,9242;
121104;2000;18,246;
121104;2100;18,7137;
121104;2200;22,2905;
121104;2300;20,7033;
121105;0000;22,2283;
121105;0100;23,2272;
121105;0200;24,2957;
121105;0300;24,283;
121105;0400;24,7942;
121105;0500;24,7313;
121105;0600;23,8808;
121105;0700;19,1465;
121105;0800;14,4233;
121105;0900;10,8715;
121105;1000;7,73556;
121105;1100;6,63436;
121105;1200;5,83985;
121105;1300;5,93226;
121105;1400;5,75251;
121105;1500;5,2764;
121105;1600;5,42156;
121105;1700;5,91453;
121105;1800;9,69901;
121105;1900;;
121105;2000;;
121105;2100;;
121105;2200;14,4187;
121105;2300;14,3785;
121106;0000;16,6387;
121106;0100;22,2738;
121106;0200;21,6813;
121106;0300;22,0375;
121106;0400;23,1343;
121106;0500;23,3953;
121106;0600;24,9568;
121106;0700;19,9382;
121106;0800;14,108;
121106;0900;10,4372;
121106;1000;8,31267;
121106;1100;7,22455;
121106;1200;6,15082;
121106;1300;5,47966;
121106;1400;5,00316;
121106;1500;4,83846;
121106;1600;5,02671;
121106;1700;5,58941;
121106;1800;7,60641;
121106;1900;8,84267;
121106;2000;10,3522;
121106;2100;;
121106;2200;;
121106;2300;;
121107;0000;;
121107;0100;;
121107;0200;;
121107;0300;;
121107;0400;;
121107;0500;;
121107;0600;;
121107;0700;;
121107;0800;;
121107;0900;;
121107;1000;;
121107;1100;;
121107;1200;;
121107;1300;;
121107;1400;;
121107;1500;;
121107;1600;;
121107;1700;;
121107;1800;;
121107;1900;;
121107;2000;;
