FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0000;;;14;
201226;0000;;;13;
201227;0000;;;16;
201228;0000;;;15;
201229;0000;;;16;
201230;0000;;;16;
201231;0000;;;15;
210101;0000;;;15;
210102;0000;;;15;
210103;0000;;;14;
210104;0000;;;16;
210105;0000;;;14;
210106;0000;;;20;
210107;0000;;;15;
210108;0000;;;18;
210109;0000;;;17;
210110;0000;;;16;
210111;0000;;;16;
210112;0000;;;16;
210113;0000;;;21;
210114;0000;;;15;
210115;0000;;;14;
210116;0000;;;13;
210117;0000;;;13;
210118;0000;;;13;
210119;0000;;;18;
210120;0000;;;16;
210121;0000;;;;
210122;0000;;;;
210123;0000;;;14;
210124;0000;;;14;
210125;0000;;;15;
210126;0000;;;15;
210127;0000;;;12;
210128;0000;;;9;
210129;0000;;;7;
210130;0000;;;11;
210131;0000;;;11;
210201;0000;;;8;
210202;0000;;;10;
210203;0000;;;10;
210204;0000;;;;
210205;0000;;;16;
210206;0000;;;19;
210207;0000;;;19;
210208;0000;;;17;
210209;0000;;;12;
210210;0000;;;21;
210211;0000;;;40;
210212;0000;;;37;
210213;0000;;;37;
210214;0000;;;40;
210215;0000;;;39;
210216;0000;;;40;
210217;0000;;;39;
210218;0000;;;39;
210219;0000;;;37;
210220;0000;;;40;
210221;0000;;;37;
210222;0000;;;40;
210223;0000;;;37;
210224;0000;;;42;
210225;0000;;;36;
210226;0000;;;32;
210227;0000;;;33;
210228;0000;;;34;
210301;0000;;;20;
210302;0000;;;13;
210303;0000;;;12;
210304;0000;;;10;
210305;0000;;;14;
210306;0000;;;14;
210307;0000;;;9;
210308;0000;;;17;
210309;0000;;;13;
210310;0000;;;12;
210311;0000;;;12;
210312;0000;;;14;
210313;0000;;;18;
210314;0000;;;28;
210315;0000;;;26;
210316;0000;;;14;
210317;0000;;;15;
210318;0000;;;17;
210319;0000;;;15;
210320;0000;;;19;
210321;0000;;;17;
210322;0000;;;16;
210323;0000;;;14;
210324;0000;;;15;
210325;0000;;;15;
210326;0000;;;14;
210327;0000;;;14;
210328;0000;;;19;
210329;0000;;;19;
210330;0000;;;11;
210331;0000;;;9;
210401;0000;;;9;
210402;0000;;;10;
210403;0000;;;9;
210404;0000;;;11;
210405;0000;;;22;
210406;0000;;;12;
210407;0000;;;8;
210408;0000;;;7;
210409;0000;;;8;
210410;0000;;;10;
210411;0000;;;9;
210412;0000;;;10;
210413;0000;;;7;
210414;0000;;;9;
210415;0000;;;10;
210416;0000;;;7;
210417;0000;;;12;
210418;0000;;;14;
210419;0000;;;15;
210420;0000;;;12;
210421;0000;;;11;
210422;0000;;;9;
210423;0000;;;9;
210424;0000;;;8;
210425;0000;;;8;
210426;0000;;;10;
210427;0000;;;8;
210428;0000;;;8;
210429;0000;;;7;
210430;0000;;;13;
210501;0000;;;17;
210502;0000;;;13;
210503;0000;;;14;
210504;0000;;;9;
210505;0000;;;10;
210506;0000;;;9;
210507;0000;;;7;
210508;0000;;;9;
210509;0000;;;9;
210510;0000;;;12;
210511;0000;;;9;
210512;0000;;;8;
210513;0000;;;9;
210514;0000;;;8;
210515;0000;;;8;
210516;0000;;;8;
210517;0000;;;11;
210518;0000;;;13;
210519;0000;;;14;
210520;0000;;;11;
210521;0000;;;10;
210522;0000;;;9;
210523;0000;;;9;
210524;0000;;;13;
210525;0000;;;10;
210526;0000;;;8;
210527;0000;;;12;
210528;0000;;;12;
210529;0000;;;8;
210530;0000;;;10;
210531;0000;;;;
210601;0000;;;13;
210602;0000;;;9;
210603;0000;;;12;
210604;0000;;;13;
210605;0000;;;8;
210606;0000;;;9;
210607;0000;;;;
210608;0000;;;;
210609;0000;;;;
210610;0000;;;;
210611;0000;;;;
210612;0000;;;;
210613;0000;;;;
210614;0000;;;;
210615;0000;;;;
210616;0000;;;;
210617;0000;;;;
210618;0000;;;;
210619;0000;;;;
210620;0000;;;;
210621;0000;;;;
210622;0000;;;;
210623;0000;;;;
210624;0000;;;;
210625;0000;;;;
210626;0000;;;;
210627;0000;;;;
210628;0000;;;;
210629;0000;;;;
210630;0000;;;;
210701;0000;;;;
210702;0000;;;;
210703;0000;;;;
210704;0000;;;;
210705;0000;;;;
210706;0000;;;16;
210707;0000;;;16;
210708;0000;;;10;
210709;0000;;;18;
210710;0000;;;10;
210711;0000;;;7;
210712;0000;;;7;
210713;0000;;;;
210714;0000;;;9;
210715;0000;;;9;
210716;0000;;;12;
210717;0000;;;11;
210718;0000;;;10;
210719;0000;;;6;
210720;0000;;;9;
210721;0000;;;5;
210722;0000;;;6;
210723;0000;;;6;
210724;0000;;;13;
210725;0000;;;16;
210726;0000;;;11;
210727;0000;;;7;
210728;0000;;;9;
210729;0000;;;11;
210730;0000;;;7;
210731;0000;;;8;
210801;0000;;;8;
210802;0000;;;7;
210803;0000;;;7;
210804;0000;;;13;
210805;0000;;;15;
210806;0000;;;9;
210807;0000;;;9;
210808;0000;;;9;
210809;0000;;;7;
210810;0000;;;8;
210811;0000;;;4;
210812;0000;;;14;
210813;0000;;;20;
210814;0000;;;18;
210815;0000;;;25;
210816;0000;;;21;
210817;0000;;;19;
210818;0000;;;22;
210819;0000;;;22;
210820;0000;;;14;
210821;0000;;;19;
210822;0000;;;16;
210823;0000;;;12;
210824;0000;;;;
210825;0000;;;;
210826;0000;;;;
210827;0000;;;;
210828;0000;;;;
210829;0000;;;;
210830;0000;;;;
210831;0000;;;;
210901;0000;;;;
210902;0000;;;;
210903;0000;;;;
210904;0000;;;;
210905;0000;;;;
210906;0000;;;;
210907;0000;;;11;
210908;0000;;;8;
210909;0000;;;7;
210910;0000;;;7;
210911;0000;;;17;
210912;0000;;;22;
210913;0000;;;18;
210914;0000;;;11;
210915;0000;;;9;
210916;0000;;;11;
210917;0000;;;17;
210918;0000;;;14;
210919;0000;;;11;
210920;0000;;;7;
210921;0000;;;13;
210922;0000;;;14;
210923;0000;;;8;
210924;0000;;;10;
210925;0000;;;16;
210926;0000;;;10;
