FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0000;;;11;
201226;0000;;;10;
201227;0000;;;8;
201228;0000;;;12;
201229;0000;;;8;
201230;0000;;;13;
201231;0000;;;17;
210101;0000;;;16;
210102;0000;;;14;
210103;0000;;;13;
210104;0000;;;18;
210105;0000;;;22;
210106;0000;;;18;
210107;0000;;;15;
210108;0000;;;22;
210109;0000;;;9;
210110;0000;;;8;
210111;0000;;;9;
210112;0000;;;16;
210113;0000;;;19;
210114;0000;;;23;
210115;0000;;;13;
210116;0000;;;16;
210117;0000;;;25;
210118;0000;;;18;
210119;0000;;;19;
210120;0000;;;17;
210121;0000;;;;
210122;0000;;;;
210123;0000;;;15;
210124;0000;;;12;
210125;0000;;;16;
210126;0000;;;16;
210127;0000;;;14;
210128;0000;;;10;
210129;0000;;;8;
210130;0000;;;10;
210131;0000;;;12;
210201;0000;;;18;
210202;0000;;;19;
210203;0000;;;23;
210204;0000;;;;
210205;0000;;;10;
210206;0000;;;8;
210207;0000;;;10;
210208;0000;;;12;
210209;0000;;;18;
210210;0000;;;14;
210211;0000;;;6;
210212;0000;;;13;
210213;0000;;;15;
210214;0000;;;13;
210215;0000;;;21;
210216;0000;;;16;
210217;0000;;;13;
210218;0000;;;11;
210219;0000;;;11;
210220;0000;;;16;
210221;0000;;;10;
210222;0000;;;10;
210223;0000;;;16;
210224;0000;;;22;
210225;0000;;;14;
210226;0000;;;10;
210227;0000;;;11;
210228;0000;;;14;
210301;0000;;;14;
210302;0000;;;12;
210303;0000;;;18;
210304;0000;;;16;
210305;0000;;;19;
210306;0000;;;14;
210307;0000;;;11;
210308;0000;;;16;
210309;0000;;;17;
210310;0000;;;12;
210311;0000;;;12;
210312;0000;;;18;
210313;0000;;;16;
210314;0000;;;13;
210315;0000;;;14;
210316;0000;;;21;
210317;0000;;;18;
210318;0000;;;14;
210319;0000;;;14;
210320;0000;;;10;
210321;0000;;;18;
210322;0000;;;19;
210323;0000;;;16;
210324;0000;;;17;
210325;0000;;;19;
210326;0000;;;27;
210327;0000;;;21;
210328;0000;;;21;
210329;0000;;;20;
210330;0000;;;27;
210331;0000;;;23;
210401;0000;;;19;
210402;0000;;;18;
210403;0000;;;26;
210404;0000;;;18;
210405;0000;;;9;
210406;0000;;;14;
210407;0000;;;23;
210408;0000;;;23;
210409;0000;;;22;
210410;0000;;;21;
210411;0000;;;25;
210412;0000;;;15;
210413;0000;;;18;
210414;0000;;;14;
210415;0000;;;17;
210416;0000;;;31;
210417;0000;;;25;
210418;0000;;;23;
210419;0000;;;6;
