FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0000;;;10;
201226;0000;;;8;
201227;0000;;;8;
201228;0000;;;8;
201229;0000;;;7;
201230;0000;;;11;
201231;0000;;;13;
210101;0000;;;15;
210102;0000;;;13;
210103;0000;;;11;
210104;0000;;;13;
210105;0000;;;19;
210106;0000;;;16;
210107;0000;;;13;
210108;0000;;;17;
210109;0000;;;8;
210110;0000;;;7;
210111;0000;;;8;
210112;0000;;;13;
210113;0000;;;17;
210114;0000;;;27;
210115;0000;;;14;
210116;0000;;;19;
210117;0000;;;34;
210118;0000;;;17;
210119;0000;;;20;
210120;0000;;;20;
210121;0000;;;;
210122;0000;;;;
210123;0000;;;13;
210124;0000;;;12;
210125;0000;;;13;
210126;0000;;;16;
210127;0000;;;17;
210128;0000;;;10;
210129;0000;;;8;
210130;0000;;;12;
210131;0000;;;19;
210201;0000;;;17;
210202;0000;;;19;
210203;0000;;;25;
210204;0000;;;;
210205;0000;;;14;
210206;0000;;;10;
210207;0000;;;11;
210208;0000;;;16;
210209;0000;;;17;
210210;0000;;;19;
210211;0000;;;11;
210212;0000;;;14;
210213;0000;;;18;
210214;0000;;;17;
210215;0000;;;19;
210216;0000;;;19;
210217;0000;;;12;
210218;0000;;;12;
210219;0000;;;14;
210220;0000;;;19;
210221;0000;;;21;
210222;0000;;;17;
210223;0000;;;13;
210224;0000;;;20;
210225;0000;;;16;
210226;0000;;;10;
210227;0000;;;15;
210228;0000;;;20;
210301;0000;;;12;
210302;0000;;;14;
210303;0000;;;21;
210304;0000;;;15;
210305;0000;;;15;
210306;0000;;;15;
210307;0000;;;10;
210308;0000;;;14;
210309;0000;;;18;
210310;0000;;;13;
210311;0000;;;16;
210312;0000;;;20;
210313;0000;;;18;
210314;0000;;;21;
210315;0000;;;19;
210316;0000;;;29;
210317;0000;;;24;
210318;0000;;;15;
210319;0000;;;17;
210320;0000;;;10;
210321;0000;;;19;
210322;0000;;;19;
210323;0000;;;12;
210324;0000;;;17;
210325;0000;;;20;
210326;0000;;;26;
210327;0000;;;21;
210328;0000;;;22;
210329;0000;;;29;
210330;0000;;;37;
210331;0000;;;29;
210401;0000;;;22;
210402;0000;;;23;
210403;0000;;;28;
210404;0000;;;24;
210405;0000;;;12;
210406;0000;;;18;
210407;0000;;;28;
210408;0000;;;35;
210409;0000;;;34;
210410;0000;;;31;
210411;0000;;;39;
210412;0000;;;21;
210413;0000;;;23;
210414;0000;;;17;
210415;0000;;;22;
210416;0000;;;35;
210417;0000;;;65;
210418;0000;;;45;
210419;0000;;;57;
210420;0000;;;26;
210421;0000;;;18;
210422;0000;;;35;
210423;0000;;;34;
210424;0000;;;36;
210425;0000;;;31;
210426;0000;;;18;
210427;0000;;;30;
210428;0000;;;37;
210429;0000;;;36;
210430;0000;;;21;
210501;0000;;;20;
210502;0000;;;42;
210503;0000;;;44;
210504;0000;;;65;
210505;0000;;;64;
210506;0000;;;82;
210507;0000;;;66;
210508;0000;;;42;
210509;0000;;;38;
210510;0000;;;71;
210511;0000;;;86;
210512;0000;;;75;
210513;0000;;;65;
210514;0000;;;50;
210515;0000;;;57;
210516;0000;;;81;
210517;0000;;;120;
210518;0000;;;41;
210519;0000;;;37;
210520;0000;;;49;
210521;0000;;;36;
210522;0000;;;38;
210523;0000;;;50;
210524;0000;;;35;
210525;0000;;;34;
210526;0000;;;28;
210527;0000;;;48;
210528;0000;;;47;
210529;0000;;;53;
210530;0000;;;40;
210531;0000;;;;
210601;0000;;;20;
210602;0000;;;28;
210603;0000;;;20;
210604;0000;;;29;
210605;0000;;;51;
210606;0000;;;59;
210607;0000;;;;
210608;0000;;;;
210609;0000;;;;
210610;0000;;;;
210611;0000;;;;
210612;0000;;;;
210613;0000;;;;
210614;0000;;;;
210615;0000;;;;
210616;0000;;;;
210617;0000;;;;
210618;0000;;;;
210619;0000;;;;
210620;0000;;;;
210621;0000;;;;
210622;0000;;;;
210623;0000;;;;
210624;0000;;;;
210625;0000;;;;
210626;0000;;;;
210627;0000;;;;
210628;0000;;;;
210629;0000;;;;
210630;0000;;;;
210701;0000;;;;
210702;0000;;;;
210703;0000;;;;
210704;0000;;;;
210705;0000;;;24;
210706;0000;;;28;
210707;0000;;;36;
210708;0000;;;39;
210709;0000;;;30;
210710;0000;;;0;
210711;0000;;;0;
210712;0000;;;0;
210713;0000;;;;
210714;0000;;;57;
210715;0000;;;53;
210716;0000;;;57;
210717;0000;;;54;
210718;0000;;;120;
210719;0000;;;81;
210720;0000;;;98;
210721;0000;;;117;
210722;0000;;;59;
210723;0000;;;90;
210724;0000;;;35;
210725;0000;;;32;
210726;0000;;;48;
210727;0000;;;55;
210728;0000;;;73;
210729;0000;;;63;
210730;0000;;;45;
210731;0000;;;72;
210801;0000;;;80;
210802;0000;;;52;
210803;0000;;;72;
210804;0000;;;63;
210805;0000;;;38;
210806;0000;;;44;
210807;0000;;;55;
210808;0000;;;42;
210809;0000;;;59;
210810;0000;;;99;
210811;0000;;;92;
210812;0000;;;64;
210813;0000;;;49;
210814;0000;;;46;
210815;0000;;;20;
210816;0000;;;21;
210817;0000;;;16;
210818;0000;;;21;
210819;0000;;;17;
210820;0000;;;21;
210821;0000;;;17;
210822;0000;;;31;
210823;0000;;;30;
210824;0000;;;;
210825;0000;;;;
210826;0000;;;;
210827;0000;;;20;
210828;0000;;;53;
210829;0000;;;34;
210830;0000;;;24;
210831;0000;;;17;
210901;0000;;;31;
210902;0000;;;40;
210903;0000;;;22;
210904;0000;;;10;
210905;0000;;;23;
210906;0000;;;28;
210907;0000;;;29;
210908;0000;;;33;
210909;0000;;;33;
210910;0000;;;31;
210911;0000;;;13;
210912;0000;;;28;
210913;0000;;;28;
210914;0000;;;35;
210915;0000;;;34;
210916;0000;;;21;
210917;0000;;;14;
210918;0000;;;16;
210919;0000;;;22;
210920;0000;;;34;
210921;0000;;;28;
210922;0000;;;20;
210923;0000;;;28;
210924;0000;;;26;
210925;0000;;;16;
210926;0000;;;21;
210927;0000;;;24;
210928;0000;;;25;
210929;0000;;;22;
210930;0000;;;15;
211001;0000;;;14;
211002;0000;;;16;
211003;0000;;;19;
211004;0000;;;20;
211005;0000;;;20;
211006;0000;;;25;
211007;0000;;;28;
211008;0000;;;20;
211009;0000;;;25;
211010;0000;;;29;
211011;0000;;;37;
211012;0000;;;16;
211013;0000;;;14;
211014;0000;;;15;
211015;0000;;;18;
211016;0000;;;20;
211017;0000;;;19;
211018;0000;;;36;
211019;0000;;;24;
211020;0000;;;17;
211021;0000;;;9;
211022;0000;;;16;
211023;0000;;;16;
211024;0000;;;17;
211025;0000;;;14;
211026;0000;;;14;
211027;0000;;;14;
211028;0000;;;14;
211029;0000;;;15;
211030;0000;;;16;
211031;0000;;;18;
211101;0000;;;12;
211102;0000;;;14;
211103;0000;;;11;
211104;0000;;;11;
211105;0000;;;11;
211106;0000;;;12;
211107;0000;;;11;
211108;0000;;;8;
211109;0000;;;8;
211110;0000;;;6;
211111;0000;;;7;
211112;0000;;;5;
211113;0000;;;4;
211114;0000;;;7;
211115;0000;;;6;
211116;0000;;;11;
211117;0000;;;12;
211118;0000;;;7;
211119;0000;;;11;
211120;0000;;;14;
211121;0000;;;14;
211122;0000;;;7;
211123;0000;;;9;
211124;0000;;;8;
211125;0000;;;11;
211126;0000;;;6;
211127;0000;;;8;
211128;0000;;;11;
211129;0000;;;9;
211130;0000;;;17;
211201;0000;;;7;
211202;0000;;;;
211203;0000;;;;
211204;0000;;;;
211205;0000;;;;
211206;0000;;;;
211207;0000;;;;
211208;0000;;;;
211209;0000;;;;
211210;0000;;;;
211211;0000;;;;
211212;0000;;;;
211213;0000;;;;
211214;0000;;;;
211215;0000;;;;
211216;0000;;;;
211217;0000;;;;
211218;0000;;;;
211219;0000;;;;
211220;0000;;;;
211221;0000;;;;
211222;0000;;;;
211223;0000;;;;
211224;0000;;;;
211225;0000;;;;
211226;0000;;;;
211227;0000;;;;
211228;0000;;;;
211229;0000;;;;
211230;0000;;;;
211231;0000;;;;
220101;0000;;;;
220102;0000;;;;
220103;0000;;;;
220104;0000;;;;
220105;0000;;;;
220106;0000;;;;
220107;0000;;;;
220108;0000;;;;
220109;0000;;;;
220110;0000;;;;
220111;0000;;;;
220112;0000;;;;
220113;0000;;;;
220114;0000;;;;
220115;0000;;;;
220116;0000;;7;;
220117;0000;;5;;
220118;0000;;4;;
220119;0000;;8;;
220120;0000;;10;;
220121;0000;;8;;
220122;0000;;8;;
220123;0000;;15;;
220124;0000;;7;;
220125;0000;;8;;
220126;0000;;25;;
220127;0000;;10;;
220128;0000;;10;;
220129;0000;;40;;
220130;0000;;8;;
220131;0000;;10;;
220201;0000;;14;;
220202;0000;;22;;
220203;0000;;13;;
220204;0000;;8;;
220205;0000;;9;;
220206;0000;;15;;
220207;0000;;13;;
220208;0000;;11;;
220209;0000;;13;;
220210;0000;;23;;
220211;0000;;30;;
220212;0000;;28;;
220213;0000;;18;;
220214;0000;;14;;
220215;0000;;11;;
220216;0000;;15;;
220217;0000;;23;;
220218;0000;;19;;
220219;0000;;11;;
220220;0000;;7;;
220221;0000;;20;;
220222;0000;;15;;
220223;0000;;10;;
220224;0000;;9;;
220225;0000;;18;;
220226;0000;;9;;
220227;0000;;9;;
220228;0000;;;;
220301;0000;;13;;
220302;0000;;26;;
220303;0000;;6;;
220304;0000;;6;;
220305;0000;;6;;
220306;0000;;;;
220307;0000;;;;
220308;0000;;4;;
220309;0000;;7;;
220310;0000;;7;;
220311;0000;;10;;
220312;0000;;13;;
220313;0000;;12;;
