FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
191130;0000;;;9;
191201;0000;;;9;
191202;0000;;;10;
191203;0000;;;14;
191204;0000;;;9;
191205;0000;;;10;
191206;0000;;;9;
191207;0000;;;11;
191208;0000;;;9;
191209;0000;;;8;
191210;0000;;;7;
191211;0000;;;8;
191212;0000;;;7;
191213;0000;;;7;
191214;0000;;;10;
191215;0000;;;8;
191216;0000;;;10;
191217;0000;;;9;
191218;0000;;;5;
191219;0000;;;9;
191220;0000;;;9;
191221;0000;;;9;
191222;0000;;;9;
191223;0000;;;9;
191224;0000;;;13;
191225;0000;;;11;
191226;0000;;;7;
191227;0000;;;7;
191228;0000;;;7;
191229;0000;;;11;
191230;0000;;;11;
191231;0000;;;11;
200101;0000;;;12;
200102;0000;;;14;
200103;0000;;;12;
200104;0000;;;15;
200105;0000;;;13;
200106;0000;;;9;
200107;0000;;;10;
200108;0000;;;15;
200109;0000;;;11;
200110;0000;;;9;
200111;0000;;;12;
200112;0000;;;10;
200113;0000;;;10;
200114;0000;;;10;
200115;0000;;;10;
200116;0000;;;10;
200117;0000;;;16;
200118;0000;;;11;
200119;0000;;;12;
200120;0000;;;14;
200121;0000;;;11;
200122;0000;;;12;
200123;0000;;;14;
200124;0000;;;8;
200125;0000;;;9;
200126;0000;;;8;
200127;0000;;;11;
200128;0000;;;10;
200129;0000;;;9;
200130;0000;;;8;
200131;0000;;;5;
200201;0000;;;4;
200202;0000;;;9;
200203;0000;;;11;
200204;0000;;;10;
200205;0000;;;11;
200206;0000;;;9;
200207;0000;;;9;
200208;0000;;;10;
200209;0000;;;8;
200210;0000;;;7;
200211;0000;;;9;
200212;0000;;;11;
200213;0000;;;9;
200214;0000;;;9;
200215;0000;;;8;
200216;0000;;;8;
200217;0000;;;9;
200218;0000;;;10;
200219;0000;;;12;
200220;0000;;;12;
200221;0000;;;11;
200222;0000;;;12;
200223;0000;;;11;
200224;0000;;;11;
200225;0000;;;9;
200226;0000;;;7;
200227;0000;;;11;
200228;0000;;;7;
200229;0000;;;14;
200301;0000;;;17;
200302;0000;;;10;
200303;0000;;;8;
200304;0000;;;11;
200305;0000;;;10;
200306;0000;;;8;
200307;0000;;;10;
200308;0000;;;11;
200309;0000;;;9;
200310;0000;;;7;
200311;0000;;;8;
200312;0000;;;6;
200313;0000;;;6;
200314;0000;;;8;
200315;0000;;;9;
200316;0000;;;11;
200317;0000;;;6;
200318;0000;;;8;
200319;0000;;;7;
200320;0000;;;15;
200321;0000;;;22;
200322;0000;;;24;
200323;0000;;;23;
200324;0000;;;9;
200325;0000;;;4;
200326;0000;;;8;
200327;0000;;;9;
200328;0000;;;5;
200329;0000;;;7;
200330;0000;;;10;
200331;0000;;;8;
200401;0000;;;7;
200402;0000;;;8;
200403;0000;;;6;
200404;0000;;;8;
200405;0000;;;9;
200406;0000;;;10;
200407;0000;;;9;
200408;0000;;;13;
200409;0000;;;23;
200410;0000;;;9;
200411;0000;;;10;
200412;0000;;;10;
200413;0000;;;8;
200414;0000;;;9;
200415;0000;;;10;
200416;0000;;;10;
200417;0000;;;6;
200418;0000;;;;
200419;0000;;;;
200420;0000;;;;
200421;0000;;;;
200422;0000;;;;
200423;0000;;;;
200424;0000;;;;
200425;0000;;;;
200426;0000;;;;
200427;0000;;;;
200428;0000;;;;
200429;0000;;;;
200430;0000;;;;
200501;0000;;;;
200502;0000;;;;
200503;0000;;;;
200504;0000;;;;
200505;0000;;;;
200506;0000;;;;
200507;0000;;;;
200508;0000;;;;
200509;0000;;;;
200510;0000;;;;
200511;0000;;;;
200512;0000;;;;
200513;0000;;;;
200514;0000;;;;
200515;0000;;;;
200516;0000;;;3;
200517;0000;;;3;
200518;0000;;;9;
200519;0000;;;9;
200520;0000;;;10;
200521;0000;;;10;
200522;0000;;;7;
200523;0000;;;5;
200524;0000;;;4;
200525;0000;;;8;
200526;0000;;;4;
200527;0000;;;3;
200528;0000;;;6;
200529;0000;;;9;
200530;0000;;;7;
200531;0000;;;7;
200601;0000;;;5;
200602;0000;;;10;
200603;0000;;;5;
200604;0000;;;5;
200605;0000;;;10;
200606;0000;;;14;
200607;0000;;;15;
200608;0000;;;14;
200609;0000;;;11;
200610;0000;;;18;
200611;0000;;;22;
200612;0000;;;16;
200613;0000;;;12;
200614;0000;;;9;
200615;0000;;;17;
200616;0000;;;23;
200617;0000;;;18;
200618;0000;;;26;
200619;0000;;;20;
200620;0000;;;23;
200621;0000;;;18;
200622;0000;;;22;
200623;0000;;;18;
200624;0000;;;21;
200625;0000;;;17;
200626;0000;;;17;
200627;0000;;;17;
200628;0000;;;22;
200629;0000;;;21;
200630;0000;;;21;
200701;0000;;;17;
200702;0000;;;3;
200703;0000;;;3;
200704;0000;;;4;
200705;0000;;;3;
200706;0000;;;6;
200707;0000;;;4;
